mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_prior,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0.004952907562255859,0.0009990186612949836,0.010298871994018554,0.0019117309984535641,0,True,"{'alpha': 0, 'fit_prior': True}",0.6375,0.6375,0.6375,0.6375,0.6410256410256411,0.6381909547738693,0.0013995142007437995,1,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6375,0.6381918238993711,0.0003459119496855401,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6375,0.6375,0.6375,0.6375,0.6410256410256411,0.6381909547738693,0.0013995142007437995,6,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6375,0.6381918238993711,0.0003459119496855401,0.7786259541984732,0.7786259541984732,0.7786259541984732,0.7786259541984732,0.7812500000000001,0.7791402144309332,0.0010416231646757576,1,0.7792706333973128,0.7792706333973128,0.7792706333973128,0.7792706333973128,0.7786259541984732,0.7791416975575449,0.0002578716795358371,0.5,0.5294117647058824,0.5098039215686274,0.5196078431372549,0.53,0.5177032219923144,0.01155238060619393,1,0.5221674876847291,0.5147783251231527,0.5197044334975369,0.5172413793103449,0.5147058823529411,0.5177195015937409,0.002887405610781827
0.005834388732910156,0.0009188939249907787,0.014307260513305664,0.003112073831607681,0,False,"{'alpha': 0, 'fit_prior': False}",0.3625,0.4,0.375,0.3875,0.3974358974358974,0.3844221105527638,0.014082483679479434,6,0.389937106918239,0.3805031446540881,0.3867924528301887,0.3836477987421384,0.38125,0.3844261006289309,0.00352288988399656,0.0,0.058823529411764705,0.0196078431372549,0.0392156862745098,0.06,0.03540644398462903,0.02310476121238783,6,0.04433497536945813,0.029556650246305417,0.03940886699507389,0.034482758620689655,0.029411764705882353,0.03543900318748189,0.005774811221563618,0.0,1.0,1.0,1.0,1.0,0.7989949748743719,0.400751799746269,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1111111111111111,0.038461538461538464,0.07547169811320754,0.11320754716981131,0.067421448477673,0.04347211641602111,6,0.08490566037735849,0.05741626794258373,0.07582938388625593,0.06666666666666667,0.05714285714285715,0.0683921672031444,0.01075176583002261,0.5,0.5294117647058824,0.5098039215686274,0.5196078431372549,0.53,0.5177032219923144,0.01155238060619393,1,0.5221674876847291,0.5147783251231527,0.5197044334975369,0.5172413793103449,0.5147058823529411,0.5177195015937409,0.002887405610781827
0.0040490150451660155,0.0005649097158781911,0.014216423034667969,0.0031782429407223225,0.3,True,"{'alpha': 0.3, 'fit_prior': True}",0.6375,0.6375,0.6375,0.6375,0.6410256410256411,0.6381909547738693,0.0013995142007437995,1,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6375,0.6381918238993711,0.0003459119496855401,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6375,0.6375,0.6375,0.6375,0.6410256410256411,0.6381909547738693,0.0013995142007437995,6,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6375,0.6381918238993711,0.0003459119496855401,0.7786259541984732,0.7786259541984732,0.7786259541984732,0.7786259541984732,0.7812500000000001,0.7791402144309332,0.0010416231646757576,1,0.7792706333973128,0.7792706333973128,0.7792706333973128,0.7792706333973128,0.7786259541984732,0.7791416975575449,0.0002578716795358371,0.5,0.5294117647058824,0.5098039215686274,0.5196078431372549,0.53,0.5177032219923144,0.01155238060619393,1,0.5221674876847291,0.5147783251231527,0.5197044334975369,0.5172413793103449,0.5147058823529411,0.5177195015937409,0.002887405610781827
0.003693246841430664,0.0007171621601626325,0.014068126678466797,0.0016692838225755612,0.3,False,"{'alpha': 0.3, 'fit_prior': False}",0.3625,0.4,0.375,0.3875,0.3974358974358974,0.3844221105527638,0.014082483679479434,6,0.389937106918239,0.3805031446540881,0.3867924528301887,0.3836477987421384,0.38125,0.3844261006289309,0.00352288988399656,0.0,0.058823529411764705,0.0196078431372549,0.0392156862745098,0.06,0.03540644398462903,0.02310476121238783,6,0.04433497536945813,0.029556650246305417,0.03940886699507389,0.034482758620689655,0.029411764705882353,0.03543900318748189,0.005774811221563618,0.0,1.0,1.0,1.0,1.0,0.7989949748743719,0.400751799746269,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1111111111111111,0.038461538461538464,0.07547169811320754,0.11320754716981131,0.067421448477673,0.04347211641602111,6,0.08490566037735849,0.05741626794258373,0.07582938388625593,0.06666666666666667,0.05714285714285715,0.0683921672031444,0.01075176583002261,0.5,0.5294117647058824,0.5098039215686274,0.5196078431372549,0.53,0.5177032219923144,0.01155238060619393,1,0.5221674876847291,0.5147783251231527,0.5197044334975369,0.5172413793103449,0.5147058823529411,0.5177195015937409,0.002887405610781827
0.00324554443359375,0.0006088856587471488,0.012803888320922852,0.0022124618981835863,0.6,True,"{'alpha': 0.6, 'fit_prior': True}",0.6375,0.6375,0.6375,0.6375,0.6410256410256411,0.6381909547738693,0.0013995142007437995,1,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6375,0.6381918238993711,0.0003459119496855401,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6375,0.6375,0.6375,0.6375,0.6410256410256411,0.6381909547738693,0.0013995142007437995,6,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6375,0.6381918238993711,0.0003459119496855401,0.7786259541984732,0.7786259541984732,0.7786259541984732,0.7786259541984732,0.7812500000000001,0.7791402144309332,0.0010416231646757576,1,0.7792706333973128,0.7792706333973128,0.7792706333973128,0.7792706333973128,0.7786259541984732,0.7791416975575449,0.0002578716795358371,0.5,0.5294117647058824,0.5098039215686274,0.5196078431372549,0.53,0.5177032219923144,0.01155238060619393,1,0.5221674876847291,0.5147783251231527,0.5197044334975369,0.5172413793103449,0.5147058823529411,0.5177195015937409,0.002887405610781827
0.002916717529296875,0.00020407965239265826,0.011217832565307617,0.0014277128181774004,0.6,False,"{'alpha': 0.6, 'fit_prior': False}",0.3625,0.4,0.375,0.3875,0.3974358974358974,0.3844221105527638,0.014082483679479434,6,0.389937106918239,0.3805031446540881,0.3867924528301887,0.3836477987421384,0.38125,0.3844261006289309,0.00352288988399656,0.0,0.058823529411764705,0.0196078431372549,0.0392156862745098,0.06,0.03540644398462903,0.02310476121238783,6,0.04433497536945813,0.029556650246305417,0.03940886699507389,0.034482758620689655,0.029411764705882353,0.03543900318748189,0.005774811221563618,0.0,1.0,1.0,1.0,1.0,0.7989949748743719,0.400751799746269,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1111111111111111,0.038461538461538464,0.07547169811320754,0.11320754716981131,0.067421448477673,0.04347211641602111,6,0.08490566037735849,0.05741626794258373,0.07582938388625593,0.06666666666666667,0.05714285714285715,0.0683921672031444,0.01075176583002261,0.5,0.5294117647058824,0.5098039215686274,0.5196078431372549,0.53,0.5177032219923144,0.01155238060619393,1,0.5221674876847291,0.5147783251231527,0.5197044334975369,0.5172413793103449,0.5147058823529411,0.5177195015937409,0.002887405610781827
0.0032701492309570312,0.0003172263618952421,0.01041097640991211,0.0009566773744634871,0.9,True,"{'alpha': 0.9, 'fit_prior': True}",0.6375,0.6375,0.6375,0.6375,0.6410256410256411,0.6381909547738693,0.0013995142007437995,1,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6375,0.6381918238993711,0.0003459119496855401,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6375,0.6375,0.6375,0.6375,0.6410256410256411,0.6381909547738693,0.0013995142007437995,6,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6375,0.6381918238993711,0.0003459119496855401,0.7786259541984732,0.7786259541984732,0.7786259541984732,0.7786259541984732,0.7812500000000001,0.7791402144309332,0.0010416231646757576,1,0.7792706333973128,0.7792706333973128,0.7792706333973128,0.7792706333973128,0.7786259541984732,0.7791416975575449,0.0002578716795358371,0.5,0.5294117647058824,0.5098039215686274,0.5196078431372549,0.53,0.5177032219923144,0.01155238060619393,1,0.5221674876847291,0.5147783251231527,0.5197044334975369,0.5172413793103449,0.5147058823529411,0.5177195015937409,0.002887405610781827
0.002921772003173828,0.00013850370385318046,0.009391593933105468,0.002290603058117822,0.9,False,"{'alpha': 0.9, 'fit_prior': False}",0.3625,0.4,0.375,0.3875,0.3974358974358974,0.3844221105527638,0.014082483679479434,6,0.389937106918239,0.3805031446540881,0.3867924528301887,0.3836477987421384,0.38125,0.3844261006289309,0.00352288988399656,0.0,0.058823529411764705,0.0196078431372549,0.0392156862745098,0.06,0.03540644398462903,0.02310476121238783,6,0.04433497536945813,0.029556650246305417,0.03940886699507389,0.034482758620689655,0.029411764705882353,0.03543900318748189,0.005774811221563618,0.0,1.0,1.0,1.0,1.0,0.7989949748743719,0.400751799746269,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1111111111111111,0.038461538461538464,0.07547169811320754,0.11320754716981131,0.067421448477673,0.04347211641602111,6,0.08490566037735849,0.05741626794258373,0.07582938388625593,0.06666666666666667,0.05714285714285715,0.0683921672031444,0.01075176583002261,0.5,0.5294117647058824,0.5098039215686274,0.5196078431372549,0.53,0.5177032219923144,0.01155238060619393,1,0.5221674876847291,0.5147783251231527,0.5197044334975369,0.5172413793103449,0.5147058823529411,0.5177195015937409,0.002887405610781827
0.0033261775970458984,0.0004386706969866557,0.009647846221923828,0.0007649591207676964,1.0,True,"{'alpha': 1.0, 'fit_prior': True}",0.6375,0.6375,0.6375,0.6375,0.6410256410256411,0.6381909547738693,0.0013995142007437995,1,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6375,0.6381918238993711,0.0003459119496855401,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6375,0.6375,0.6375,0.6375,0.6410256410256411,0.6381909547738693,0.0013995142007437995,6,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6383647798742138,0.6375,0.6381918238993711,0.0003459119496855401,0.7786259541984732,0.7786259541984732,0.7786259541984732,0.7786259541984732,0.7812500000000001,0.7791402144309332,0.0010416231646757576,1,0.7792706333973128,0.7792706333973128,0.7792706333973128,0.7792706333973128,0.7786259541984732,0.7791416975575449,0.0002578716795358371,0.5,0.5294117647058824,0.5098039215686274,0.5196078431372549,0.53,0.5177032219923144,0.01155238060619393,1,0.5221674876847291,0.5147783251231527,0.5197044334975369,0.5172413793103449,0.5147058823529411,0.5177195015937409,0.002887405610781827
0.0025472640991210938,0.0006131770070257021,0.009905242919921875,0.004224174323021913,1.0,False,"{'alpha': 1.0, 'fit_prior': False}",0.3625,0.4,0.375,0.3875,0.3974358974358974,0.3844221105527638,0.014082483679479434,6,0.389937106918239,0.3805031446540881,0.3867924528301887,0.3836477987421384,0.38125,0.3844261006289309,0.00352288988399656,0.0,0.058823529411764705,0.0196078431372549,0.0392156862745098,0.06,0.03540644398462903,0.02310476121238783,6,0.04433497536945813,0.029556650246305417,0.03940886699507389,0.034482758620689655,0.029411764705882353,0.03543900318748189,0.005774811221563618,0.0,1.0,1.0,1.0,1.0,0.7989949748743719,0.400751799746269,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1111111111111111,0.038461538461538464,0.07547169811320754,0.11320754716981131,0.067421448477673,0.04347211641602111,6,0.08490566037735849,0.05741626794258373,0.07582938388625593,0.06666666666666667,0.05714285714285715,0.0683921672031444,0.01075176583002261,0.5,0.5294117647058824,0.5098039215686274,0.5196078431372549,0.53,0.5177032219923144,0.01155238060619393,1,0.5221674876847291,0.5147783251231527,0.5197044334975369,0.5172413793103449,0.5147058823529411,0.5177195015937409,0.002887405610781827
