mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0.0037862777709960936,0.0004709818976011293,0.008678722381591796,0.0009877400425324279,1,1,uniform,"{'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",0.9,0.9375,0.8875,0.9746835443037974,0.8860759493670886,0.9170854271356784,0.03417250292553893,119,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8823529411764706,0.9411764705882353,0.9019607843137255,0.9803921568627451,0.9411764705882353,0.9292541137057839,0.03417238278817325,229,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9574468085106383,0.96,0.92,0.9803921568627451,0.8888888888888888,0.9413792645608798,0.032595435286917676,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9183673469387754,0.9504950495049505,0.9108910891089109,0.9803921568627451,0.9142857142857143,0.9348236951380383,0.0267361463474464,185,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9066937119675457,0.9361054766734279,0.8820148749154832,0.9723389355742298,0.8634453781512604,0.9120906680121362,0.03864971346338061,233,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0035927295684814453,0.0014137776900139472,0.010380220413208009,0.0016453490423639842,1,1,distance,"{'n_neighbors': 1, 'p': 1, 'weights': 'distance'}",0.9,0.9375,0.8875,0.9746835443037974,0.8860759493670886,0.9170854271356784,0.03417250292553893,119,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8823529411764706,0.9411764705882353,0.9019607843137255,0.9803921568627451,0.9411764705882353,0.9292541137057839,0.03417238278817325,229,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9574468085106383,0.96,0.92,0.9803921568627451,0.8888888888888888,0.9413792645608798,0.032595435286917676,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9183673469387754,0.9504950495049505,0.9108910891089109,0.9803921568627451,0.9142857142857143,0.9348236951380383,0.0267361463474464,185,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9066937119675457,0.9361054766734279,0.8820148749154832,0.9723389355742298,0.8634453781512604,0.9120906680121362,0.03864971346338061,233,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0014947891235351563,0.0001672984103930624,0.007186222076416016,0.0009313059087406538,1,2,uniform,"{'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",0.9,0.9125,0.875,0.9746835443037974,0.8987341772151899,0.9120603015075377,0.03345175955271449,188,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9019607843137255,0.9215686274509803,0.8823529411764706,0.9803921568627451,0.9607843137254902,0.9292048477682532,0.03633412158499381,232,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9387755102040817,0.94,0.9183673469387755,0.9803921568627451,0.8909090909090909,0.9336789626768935,0.0292678430655382,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.92,0.9306930693069307,0.9,0.9803921568627451,0.9245283018867925,0.9310154818737888,0.02664692916801044,210,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8992562542258282,0.9090601757944556,0.8722109533468559,0.9723389355742298,0.873249299719888,0.9051348272804184,0.03641707868236906,235,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0015645503997802734,0.00020041474268147025,0.009207439422607423,0.0023945405377399356,1,2,distance,"{'n_neighbors': 1, 'p': 2, 'weights': 'distance'}",0.9,0.9125,0.875,0.9746835443037974,0.8987341772151899,0.9120603015075377,0.03345175955271449,188,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9019607843137255,0.9215686274509803,0.8823529411764706,0.9803921568627451,0.9607843137254902,0.9292048477682532,0.03633412158499381,232,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9387755102040817,0.94,0.9183673469387755,0.9803921568627451,0.8909090909090909,0.9336789626768935,0.0292678430655382,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.92,0.9306930693069307,0.9,0.9803921568627451,0.9245283018867925,0.9310154818737888,0.02664692916801044,210,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8992562542258282,0.9090601757944556,0.8722109533468559,0.9723389355742298,0.873249299719888,0.9051348272804184,0.03641707868236906,235,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0017261505126953125,9.027888794377834e-05,0.008409929275512696,0.00030768297382274037,2,1,uniform,"{'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",0.9,0.9125,0.875,0.9746835443037974,0.9240506329113924,0.9170854271356784,0.03297052930294226,119,0.9622641509433962,0.9716981132075472,0.9748427672955975,0.9592476489028213,0.9686520376175548,0.9673409435933834,0.005800973987274123,0.8627450980392157,0.9019607843137255,0.8823529411764706,0.9803921568627451,0.9215686274509803,0.9095970046309982,0.0403165475244222,235,0.9411764705882353,0.9558823529411765,0.9607843137254902,0.9362745098039216,0.9509803921568627,0.9490196078431372,0.009091782838721292,0.9777777777777777,0.9583333333333334,0.9183673469387755,0.9803921568627451,0.9591836734693877,0.958755696583491,0.022217302024966225,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9166666666666665,0.9292929292929293,0.9,0.9803921568627451,0.9400000000000001,0.9331350453993078,0.027033417793645775,191,0.9696969696969697,0.9774436090225563,0.98,0.9670886075949368,0.9748743718592965,0.9738207116347517,0.004790525282775507,0.9425287356321839,0.9388100067613253,0.9039891818796485,0.98109243697479,0.9425770308123249,0.9416987987362682,0.024409699315011395,232,0.9953560371517027,0.9970975232198143,0.998108015135879,0.9952898550724637,0.9974424552429668,0.9966587771645653,0.0011382459632625999
0.0019908905029296874,0.0005875485338383237,0.008912038803100587,0.0009926279551875261,2,1,distance,"{'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",0.9,0.9375,0.8875,0.9746835443037974,0.8860759493670886,0.9170854271356784,0.03417250292553893,119,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8823529411764706,0.9411764705882353,0.9019607843137255,0.9803921568627451,0.9411764705882353,0.9292541137057839,0.03417238278817325,229,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9574468085106383,0.96,0.92,0.9803921568627451,0.8888888888888888,0.9413792645608798,0.032595435286917676,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9183673469387754,0.9504950495049505,0.9108910891089109,0.9803921568627451,0.9142857142857143,0.9348236951380383,0.0267361463474464,185,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9445571331981067,0.9405003380662611,0.9046653144016228,0.9817927170868348,0.9429271708683473,0.9427906884465793,0.024408880222260135,231,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0016750335693359376,7.811789019278012e-05,0.008436346054077148,0.0001871601699956332,2,2,uniform,"{'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",0.8875,0.9125,0.8875,0.9620253164556962,0.9240506329113924,0.914572864321608,0.027573457856039225,159,0.9559748427672956,0.9716981132075472,0.9811320754716981,0.9592476489028213,0.9623824451410659,0.9660870250980855,0.009171641744051285,0.8431372549019608,0.9019607843137255,0.8823529411764706,0.9411764705882353,0.9215686274509803,0.8978717114986698,0.033729038227821855,236,0.9313725490196079,0.9558823529411765,0.9705882352941176,0.9362745098039216,0.9411764705882353,0.9470588235294117,0.014341900821889993,0.9772727272727273,0.9583333333333334,0.9375,1.0,0.9591836734693877,0.9663919473682575,0.02095589728030984,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9052631578947369,0.9292929292929293,0.9090909090909091,0.9696969696969697,0.9400000000000001,0.930547287206901,0.023309206437887742,217,0.9644670050761421,0.9774436090225563,0.9850746268656716,0.9670886075949368,0.9696969696969697,0.9727541636512553,0.007535339000452224,0.9408384043272481,0.9388100067613253,0.90973630831643,0.9978991596638656,0.9425770308123249,0.9458502427136165,0.028583671868052326,230,0.9948830409356725,0.9967105263157895,0.9984520123839009,0.9952898550724637,0.9969309462915601,0.9964532761998773,0.00127345829744166
0.0016907691955566407,2.176520061563771e-05,0.008711671829223633,0.00031045506989056237,2,2,distance,"{'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",0.9,0.9125,0.875,0.9746835443037974,0.8987341772151899,0.9120603015075377,0.03345175955271449,188,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9019607843137255,0.9215686274509803,0.8823529411764706,0.9803921568627451,0.9607843137254902,0.9292048477682532,0.03633412158499381,232,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9387755102040817,0.94,0.9183673469387755,0.9803921568627451,0.8909090909090909,0.9336789626768935,0.0292678430655382,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.92,0.9306930693069307,0.9,0.9803921568627451,0.9245283018867925,0.9310154818737888,0.02664692916801044,210,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9394861392832995,0.9384719405003381,0.9080459770114943,0.9992997198879552,0.9450280112044819,0.9459352143213895,0.029555743712590545,229,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0017072677612304688,0.00010083007819716059,0.008249568939208984,0.0001914599108537524,3,1,uniform,"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.9125,0.925,0.9,0.9746835443037974,0.8987341772151899,0.9221105527638191,0.02784949813019461,76,0.9622641509433962,0.9685534591194969,0.9748427672955975,0.9592476489028213,0.9623824451410659,0.9654580942804755,0.005583617009528125,0.9019607843137255,0.9607843137254902,0.9411764705882353,1.0,0.9607843137254902,0.9528032318455021,0.03184897117728687,220,0.9754901960784313,0.9803921568627451,0.9901960784313726,0.9705882352941176,0.9754901960784313,0.9784313725490197,0.006649343120711063,0.9583333333333334,0.9245283018867925,0.9056603773584906,0.9622641509433962,0.8909090909090909,0.928347857066924,0.028172177099027897,35,0.9660194174757282,0.970873786407767,0.9711538461538461,0.9658536585365853,0.9660194174757282,0.9679840252099309,0.0024761386818384266,0.9292929292929293,0.9423076923076923,0.923076923076923,0.9807692307692307,0.9245283018867925,0.9399314287789683,0.021426835997123146,114,0.9707317073170731,0.975609756097561,0.9805825242718447,0.9682151589242053,0.9707317073170731,0.9731741707855515,0.004412229174025833,0.960446247464503,0.9560513860716701,0.9178498985801218,0.9985994397759104,0.9425770308123249,0.9550269943361159,0.02629727322233911,226,0.9951195390436877,0.9963020295837632,0.9977210182318541,0.9942242114237,0.996227621483376,0.9959188839532761,0.0011832729745637112
0.00167236328125,3.7039720912959106e-05,0.008626079559326172,0.00024028157967903406,3,1,distance,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.9125,0.925,0.9,0.9746835443037974,0.8987341772151899,0.9221105527638191,0.02784949813019461,76,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9019607843137255,0.9607843137254902,0.9411764705882353,1.0,0.9607843137254902,0.9528032318455021,0.03184897117728687,220,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9583333333333334,0.9245283018867925,0.9056603773584906,0.9622641509433962,0.8909090909090909,0.928347857066924,0.028172177099027897,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9292929292929293,0.9423076923076923,0.923076923076923,0.9807692307692307,0.9245283018867925,0.9399314287789683,0.021426835997123146,114,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.962474645030426,0.9574036511156186,0.9178498985801218,0.9992997198879552,0.9425770308123248,0.955845524832702,0.026631890838339653,225,1.0,1.0,1.0,1.0,1.0,1.0,0.0
