,fit_time,score_time,test_f1,test_accuracy,test_recall,test_precision,test_roc_auc,classifier
BreastCancerPlain,0.002965831756591797,0.013397550582885743,0.25513153662676463,0.2708734128510966,0.28137715179968703,0.4366113199356755,0.2266448822131757,KNN
BreastCancerPlain,0.003329038619995117,0.009991121292114259,0.7646915576071587,0.6204078491727587,0.9831768388106417,0.6257047423397218,0.8620621662793297,Naive Bayes
BreastCancerPlain,0.016156005859375,0.03083767890930176,0.9330680261017752,0.9173989996152366,0.9215571205007824,0.9459832220559455,0.9159834328971244,Decision Tree
BreastCancerPlain,6.686148834228516,1.5110106468200684,0.9695906072130847,0.9614928818776451,0.9776604068857591,0.9619890832270374,0.992082014048113,Random Forest
