,fit_time,score_time,test_accuracy,classifier
ImageSegmentationPlain,0.0031158924102783203,0.0031158924102783203,0.7,KNN
ImageSegmentationPlain,0.0031254768371582033,0.0031254768371582033,0.6571428571428571,Naive Bayes
ImageSegmentationPlain,0.0031252384185791017,0.0031252384185791017,0.8142857142857143,Decision Tree
ImageSegmentationPlain,1.448328971862793,0.17833456993103028,0.8523809523809524,Random Forest
