,fit_time,score_time,test_f1,test_accuracy,test_recall,test_precision,test_roc_auc,classifier
correlation_based_feature_selection,0.008686637878417969,0.06481928825378418,0.0,0.9471983135932543,0.0,0.0,0.5234967628418662,KNN
correlation_based_feature_selection,0.006781625747680664,0.017352962493896486,0.2118992405695145,0.9128086704346817,0.22523076923076926,0.20290404040404045,0.6883386460308513,Naive Bayes
correlation_based_feature_selection,0.021939182281494142,0.015558242797851562,0.10832053751733253,0.926413483253933,0.08553846153846154,0.15758738277919862,0.5508290883001077,Decision Tree
correlation_based_feature_selection,2.527924728393555,0.6239223480224609,0.0,0.9472007184028737,0.0,0.0,0.643746357129435,Random Forest
