,fit_time,score_time,test_f1,test_accuracy,test_recall,test_precision,test_roc_auc,classifier
down_sampling,0.0019945621490478514,0.010173511505126954,0.5574866116659429,0.5893846153846154,0.52,0.6021880293619424,0.633065798816568,KNN
down_sampling,0.0019842147827148437,0.006303167343139649,0.44818193862311506,0.632,0.30246153846153845,0.8939393939393941,0.7319027218934911,Naive Bayes
down_sampling,0.002792167663574219,0.0053860187530517575,0.5748433048433049,0.5849230769230769,0.5649230769230769,0.5894705294705295,0.5849230769230769,Decision Tree
down_sampling,0.6591512203216553,0.20126667022705078,0.621625856633125,0.6435384615384616,0.5892307692307692,0.665494071146245,0.6888558579881657,Random Forest
